target,name,tier,index,gamma,diff,precision_pct,norm_precision
378,54 × dim(K₇),4,188,378.43668025,0.4366802499999949,0.1155238756613743,0.28474195440224576
385,55 × dim(K₇),4,192,384.956116815,-0.04388318500002697,0.011398229870136875,0.028742647311359695
392,56 × dim(K₇),4,197,392.24508334,0.24508334000000787,0.06252126020408365,0.16122773660803402
399,57 × dim(K₇),4,202,399.985119876,0.9851198759999988,0.2468972120300749,0.6508348076155226
406,58 × dim(K₇),4,206,405.13438746,-0.8656125399999723,0.21320505911329368,0.5742764223162982
413,59 × dim(K₇),4,211,413.26273607,0.26273607000001675,0.06361648184019776,0.17502274675832022
420,60 × dim(K₇),4,215,419.861364818,-0.13863518199997316,0.033008376666660275,0.09272325439187487
427,61 × dim(K₇),4,220,427.208825084,0.20882508400001143,0.04890517189695818,0.14021766898249252
434,62 × dim(K₇),4,225,433.889218481,-0.11078151899999966,0.025525695622119735,0.07467204329531445
441,63 × dim(K₇),4,230,441.683199201,0.6831992009999794,0.15492045374149194,0.4622487334779859
448,64 × dim(K₇),4,234,447.441704194,-0.5582958059999896,0.1246195995535691,0.37913912825592494
455,65 × dim(K₇),4,239,454.974683769,-0.025316230999976597,0.00556400681318167,0.01725474223401665
462,66 × dim(K₇),4,244,462.065367275,0.06536727500002826,0.014148760822516938,0.04471110243694808
469,67 × dim(K₇),4,249,469.536004559,0.5360045589999913,0.11428668635394272,0.36790903419111326
476,68 × dim(K₇),4,253,475.600339369,-0.3996606310000175,0.08396231743697846,0.2752660628937661
480,|Roots(E₈×E₈)|,2,256,478.942181535,-1.0578184650000253,0.22037884687500525,0.729980800849402
483,69 × dim(K₇),4,258,482.834782791,-0.16521720899999082,0.03420646149068133,0.11417714878995426
490,70 × dim(K₇),4,263,489.661761578,-0.33823842200001764,0.0690282493877587,0.2345220129445421
496,dim(E₈×E₈),2,268,496.429696216,0.42969621600002483,0.08663230161290823,0.298767786933834
497,71 × dim(K₇),4,268,496.429696216,-0.5703037839999752,0.11474925231387831,0.3967150446508619
504,72 × dim(K₇),4,273,504.499773313,0.4997733129999915,0.09916137162698244,0.3487650832164791
511,73 × dim(K₇),4,278,511.5622897,0.562289700000008,0.1100371232876728,0.3936263090681942
518,74 × dim(K₇),4,283,518.234223148,0.23422314799995547,0.04521682393821534,0.1644731889176706
525,75 × dim(K₇),4,288,525.077385687,0.0773856869999463,0.014740130857132628,0.05450611136807606
532,76 × dim(K₇),4,293,532.688183028,0.6881830280000258,0.12935771203008006,0.4861680132253791
539,77 × dim(K₇),4,297,538.428526176,-0.5714738240000088,0.10602482820037269,0.4049075508070449
546,78 × dim(K₇),4,302,545.636833249,-0.3631667509999943,0.06651405695970591,0.25806111613708643
553,79 × dim(K₇),4,308,553.764972119,0.7649721190000491,0.1383313054249637,0.5451292475493127
560,80 × dim(K₇),4,313,560.240807497,0.2408074969999916,0.0430013387499985,0.17208469733859127
567,81 × dim(K₇),4,317,566.698787683,-0.30121231700002227,0.05312386543210269,0.21584642830833484
574,82 × dim(K₇),4,322,573.614610527,-0.385389473000032,0.06714102317073728,0.2769197367395161
581,83 × dim(K₇),4,327,580.136959362,-0.8630406380000295,0.148543999655771,0.6217986207538464
588,84 × dim(K₇),4,333,588.139663266,0.13966326599995682,0.023752256122441636,0.10089000520292812
595,85 × dim(K₇),4,338,595.728153697,0.7281536970000388,0.12237877260504854,0.5273754415035199
602,86 × dim(K₇),4,342,601.602136736,-0.39786326399996597,0.06609024318936312,0.28889861756650315
609,87 × dim(K₇),4,348,609.389575155,0.3895751549999886,0.06396964778324937,0.28359721468367105
616,88 × dim(K₇),4,353,615.538563369,-0.46143663099996957,0.07490854399350155,0.33674920184192814
623,89 × dim(K₇),4,358,622.37500274,-0.6249972599999865,0.10032058747993361,0.45723716115441987
630,90 × dim(K₇),4,363,630.473887438,0.47388743800001976,0.0752202282539714,0.3475305422585165
