target,name,tier,formula,index,gamma,precision,precision_pct
182,26×7,4,26 × dim(K₇),840,181.9401872166,0.000328641667032918,0.0328641667032918
343,49×7,4,49 × dim(K₇),1594,342.8729539595,0.00037039661953345974,0.03703966195334597
308,44×7,4,44 × dim(K₇),1436,307.8832992088,0.00037889867272728275,0.03788986727272828
217,31×7,4,31 × dim(K₇),1017,217.0831352766,0.0003831118737326707,0.03831118737326707
518,74×7,4,74 × dim(K₇),2393,518.2042477598,0.00039430069459450777,0.039430069459450774
203,29×7,4,29 × dim(K₇),946,203.0821380098,0.00040462073793098835,0.04046207379309884
248,dim(E₈),1,E₈ Lie algebra dimension,1165,248.10199006,0.00041125024193544937,0.04112502419354494
357,51×7,4,51 × dim(K₇),1657,357.151302252,0.00042381583193275513,0.042381583193275514
78,dim(E₆),2,E₆ dimension,337,77.9665033716,0.0004294439538461767,0.04294439538461767
240,|Roots(E₈)|,1,E₈ root count,1130,240.1094536973,0.0004560570720833823,0.04560570720833823
245,35×7,4,35 × dim(K₇),1152,244.8749141143,0.0005105546355102145,0.05105546355102145
364,52×7,4,52 × dim(K₇),1690,364.1922369437,0.000528123471703246,0.052812347170324604
84,12×7,4,12 × dim(K₇),364,83.9546539634,0.0005398337690475533,0.053983376904755326
175,25×7,4,25 × dim(K₇),807,175.0964298734,0.0005510278480000709,0.05510278480000709
70,10×7,4,10 × dim(K₇),300,70.0404051562,0.0005772165171427852,0.05772165171427852
99,H*,1,b₂ + b₃ + 1,437,98.9405274365,0.0006007329646464105,0.060073296464641046
119,17×7,4,17 × dim(K₇),533,119.0718161964,0.0006034974487394392,0.06034974487394392
98,14×7,4,14 × dim(K₇),431,97.9343661278,0.0006697333897958759,0.06697333897958758
147,21×7,4,21 × dim(K₇),667,146.884098576,0.0007884450612243964,0.07884450612243964
112,16×7,4,16 × dim(K₇),499,112.0886745863,0.0007917373776785855,0.07917373776785855
133,19×7,4,19 × dim(K₇),600,133.1071207084,0.0008054188601504034,0.08054188601504034
133,dim(E₇),2,E₇ dimension,600,133.1071207084,0.0008054188601504034,0.08054188601504034
63,9×7,4,9 × dim(K₇),267,63.0541536586,0.0008595818825396929,0.0859581882539693
105,15×7,4,15 × dim(K₇),464,105.0910780426,0.0008674099295238388,0.08674099295238388
