observable,formula,experimental,theoretical,deviation_pct,prime_factors,category
H_0,(7^2 × 19^2) / (2^1 × 11^2),73.04,73.09504132231405,0.07535777972896984,"num: 7^2 × 19^2, den: 2 × 11^2",prime_ratio
H_0,(5^2 × 17^2) / (3^2 × 11^1),73.04,72.97979797979798,0.0824233573412199,"num: 5^2 × 17^2, den: 3^2 × 11",prime_ratio
H_0,(13^2 × 19^1) / (2^2 × 11^1),73.04,72.97727272727273,0.08588071293438188,"num: 13^2 × 19, den: 2^2 × 11",prime_ratio
H_0,(13^4 × 17^1) / (5^1 × 11^3),73.04,72.95822689706988,0.1119566031354443,"num: 13^4 × 17, den: 5 × 11^3",prime_ratio
H_0,(5^1 × 11^3) / (7^1 × 13^1),73.04,73.13186813186813,0.1257778366212009,"num: 5 × 11^3, den: 7 × 13",prime_ratio
H_0,(2^3 × 17^3) / (7^2 × 11^1),73.04,72.92022263450835,0.16398872602910378,"num: 2^3 × 17^3, den: 7^2 × 11",prime_ratio
H_0,(2^2 × 19^3) / (3^1 × 5^3),73.04,73.16266666666667,0.1679445052938941,"num: 2^2 × 19^3, den: 3 × 5^3",prime_ratio
H_0,(5^3 × 7^1) / (2^2 × 3^1),73.04,72.91666666666667,0.16885724717050224,"num: 5^3 × 7, den: 2^2 × 3",prime_ratio
H_0,(2^4 × 7^3) / (3^1 × 5^2),73.04,73.17333333333333,0.18254837531944926,"num: 2^4 × 7^3, den: 3 × 5^2",prime_ratio
H_0,(11^3 × 19^2) / (3^1 × 13^3),73.04,72.90107722652101,0.1902009494509796,"num: 11^3 × 19^2, den: 3 × 13^3",prime_ratio
H_0,(3^2 × 19^3) / (7^1 × 11^2),73.04,72.8819362455726,0.21640711175712293,"num: 3^2 × 19^3, den: 7 × 11^2",prime_ratio
H_0,(5^1 × 11^4) / (2^3 × 5^3),73.04,73.205,0.22590361445782042,"num: 5 × 11^4, den: 2^3 × 5^3",prime_ratio
H_0,(7^4 × 19^3) / (11^3 × 13^2),73.04,73.21299996888045,0.2368564743708199,"num: 7^4 × 19^3, den: 11^3 × 13^2",prime_ratio
H_0,(17^2 × 19^1) / (3^1 × 5^2),73.04,73.21333333333334,0.2373128879152957,"num: 17^2 × 19, den: 3 × 5^2",prime_ratio
H_0,(11^3 × 13^2) / (3^2 × 7^3),73.04,72.86653709102688,0.23749029158422977,"num: 11^3 × 13^2, den: 3^2 × 7^3",prime_ratio
H_0,(2^2 × 17^4) / (3^3 × 13^2),73.04,73.21586675432829,0.240781427065009,"num: 2^2 × 17^4, den: 3^3 × 13^2",prime_ratio
H_0,(7^1 × 13^4) / (2^3 × 7^3),73.04,72.85969387755102,0.2468594228490996,"num: 7 × 13^4, den: 2^3 × 7^3",prime_ratio
H_0,(3^4 × 19^1) / (3^1 × 7^1),73.04,73.28571428571429,0.3364105773744326,"num: 3^4 × 19, den: 3 × 7",prime_ratio
H_0,(5^2 × 7^3) / (3^2 × 13^1),73.04,73.2905982905983,0.343097331049138,"num: 5^2 × 7^3, den: 3^2 × 13",prime_ratio
H_0,(13^1 × 19^3) / (5^2 × 7^2),73.04,72.78938775510204,0.34311643605964576,"num: 13 × 19^3, den: 5^2 × 7^2",prime_ratio
H_0,(5^3 × 13^3) / (7^3 × 11^1),73.04,72.78690697058045,0.34651290993915645,"num: 5^3 × 13^3, den: 7^3 × 11",prime_ratio
H_0,(2^1 × 17^3) / (3^3 × 5^1),73.04,72.78518518518518,0.3488702283883098,"num: 2 × 17^3, den: 3^3 × 5",prime_ratio
H_0,(7^3 × 17^2) / (2^3 × 13^2),73.04,73.31878698224853,0.3816908300226166,"num: 7^3 × 17^2, den: 2^3 × 13^2",prime_ratio
H_0,(3^1 × 7^4) / (3^2 × 11^1),73.04,72.75757575757575,0.386670649540328,"num: 3 × 7^4, den: 3^2 × 11",prime_ratio
H_0,(3^2 × 7^4) / (3^3 × 11^1),73.04,72.75757575757575,0.386670649540328,"num: 3^2 × 7^4, den: 3^3 × 11",prime_ratio
H_0,(7^4 × 11^1) / (3^1 × 11^2),73.04,72.75757575757575,0.386670649540328,"num: 7^4 × 11, den: 3 × 11^2",prime_ratio
H_0,(7^4 × 11^2) / (3^1 × 11^3),73.04,72.75757575757575,0.386670649540328,"num: 7^4 × 11^2, den: 3 × 11^3",prime_ratio
H_0,(11^1 × 19^3) / (3^1 × 7^3),73.04,73.32264334305151,0.3869706230168453,"num: 11 × 19^3, den: 3 × 7^3",prime_ratio
H_0,(5^4 × 7^4) / (11^2 × 13^2),73.04,73.38378404811971,0.47067914583748827,"num: 5^4 × 7^4, den: 11^2 × 13^2",prime_ratio
H_0,(17^3 × 19^2) / (11^1 × 13^3),73.04,73.38904290975297,0.4778791206913568,"num: 17^3 × 19^2, den: 11 × 13^3",prime_ratio
H_0,(2^4 × 17^2) / (3^2 × 7^1),73.04,73.39682539682539,0.48853422347396713,"num: 2^4 × 17^2, den: 3^2 × 7",prime_ratio
H_0,(5^1 × 17^3) / (2^1 × 13^2),73.04,72.6775147928994,0.4962831422516492,"num: 5 × 17^3, den: 2 × 13^2",prime_ratio
