observable,formula,predicted,experimental,deviation_pct,uncertainty,complexity,n_params,log_likelihood,bic,aic,r2,r2_adj,p_value_raw,n_tests,p_value_corrected,quality_score,significance,source
m_chi2_over_m_chi1,6 × 0.630930,3.7855790000,3.8972380000,2.8651000000,,3,1,,,,0.9991791202,0.9991556665,,74,1.0000000000,0.0000000000,not_significant,feigenbaum
m_b_over_m_c,2 × 1.584963,3.1699250000,3.2900000000,3.6497000000,,3,1,,,,0.9986679690,0.9986299110,,74,1.0000000000,0.0000000000,not_significant,feigenbaum
m_c_over_m_s,9 × 1.584963,14.2646630000,13.6000000000,4.8872000000,,3,1,,,,0.9976115276,0.9975432855,,74,1.0000000000,0.0000000000,not_significant,feigenbaum
g_Y,sqrt(Weyl / 39),0.3580574370,0.3570000000,0.2962008459,,4,2,,,,0.9999912265,0.9999907104,,74,1.0000000000,0.0000000000,not_significant,refined_zeta
alpha_s,ζ(7) / (rank + 1/2),0.1186293268,0.1179000000,0.6185977530,,7,3,,,,0.9999617337,0.9999582549,,740,1.0000000000,0.0000000000,not_significant,refined_zeta
alpha_s,sqrt(2) / 12,0.1178511302,0.1179000000,0.0414502139,,4,2,,,,0.9999998282,0.9999998181,,74,1.0000000000,0.0000000000,not_significant,refined_zeta
H_0,H0_CMB × (ζ(3)/xi)^(pi/8),72.9340276367,73.0400000000,0.1450881206,,10,5,,,,0.9999978949,0.9999975554,,1480,1.0000000000,0.0000000000,not_significant,refined_zeta
Omega_b,ζ(7) / b2,0.0480166323,0.0486000000,1.2003451517,,4,2,,,,0.9998559172,0.9998474417,,740,1.0000000000,0.0000000000,not_significant,refined_zeta
alpha_s,ζ(7) × gamma / Weyl,0.1164069997,0.1179000000,1.2663276344,,5,2,,,,0.9998396414,0.9998302086,,1480,1.0000000000,0.0000000000,not_significant,refined_zeta
sigma_8,4 / Weyl,0.8000000000,0.8110000000,1.3563501850,,3,1,,,,0.9998160314,0.9998107752,,74,1.0000000000,0.0000000000,not_significant,refined_zeta
Omega_b,ζ(5) / b2,0.0493775121,0.0486000000,1.5998192380,,4,2,,,,0.9997440578,0.9997290024,,740,1.0000000000,0.0000000000,not_significant,refined_zeta
H_0,100 × ζ(3) / phi,74.2912022564,73.0400000000,1.7130370433,,5,2,,,,0.9997065504,0.9996892887,,1480,1.0000000000,0.0000000000,not_significant,refined_zeta
Omega_b,ζ(9) / b2,0.0477146854,0.0486000000,1.8216350357,,4,2,,,,0.9996681646,0.9996486448,,740,1.0000000000,0.0000000000,not_significant,refined_zeta
H_0,H0_CMB × ζ(3)^(pi/8),72.4083353285,73.0400000000,0.8648201965,,8,4,,,,0.9999252086,0.9999158597,,1480,1.0000000000,0.0000000000,not_significant,refined_zeta
g_Y,1 / sqrt(rank),0.3535533906,0.3570000000,0.9654368086,,4,2,,,,0.9999067932,0.9999013104,,74,1.0000000000,0.0000000000,not_significant,refined_zeta
g_2,2 / M2,0.6666666667,0.6530000000,2.0929045431,,4,2,,,,0.9995619751,0.9995362089,,74,1.0000000000,0.0000000000,not_significant,refined_zeta
alpha_s,ζ(5) / (rank + 1),0.1152141950,0.1179000000,2.2780364581,,5,2,,,,0.9994810550,0.9994505288,,740,1.0000000000,0.0000000000,not_significant,refined_zeta
sin_theta_C,sqrt(ζ(7) / b2),0.2191269775,0.2254000000,2.7830623458,,5,2,,,,0.9992254564,0.9991798950,,740,1.0000000000,0.0000000000,not_significant,refined_zeta
g_2,sqrt(ζ(3) / M2),0.6329973415,0.6530000000,3.0631942524,,5,2,,,,0.9990616841,0.9990064890,,740,1.0000000000,0.0000000000,not_significant,refined_zeta
g_Y,ζ(5) / M2,0.3456425850,0.3570000000,3.1813487261,,4,2,,,,0.9989879020,0.9989283669,,740,1.0000000000,0.0000000000,not_significant,refined_zeta
alpha_s,1 / (rank + 1/ζ(13)),0.1111126222,0.1179000000,5.7568937820,,7,3,,,,0.9966858174,0.9963845281,,740,1.0000000000,0.0000000000,not_significant,refined_zeta
m_s/m_d,10 × [1/ζ(19)+1/ζ(21)],19.9995410000,20.0000000000,0.0022930000,,9,4,,,,0.9999999995,0.9999999994,,1480,1.0000000000,0.0000000000,not_significant,extended_zeta
m_b/m_u,1e+04 × [ζ(3)-ζ(7)],1937.0762580000,1935.1900000000,0.0974710000,,7,3,,,,0.9999990499,0.9999989636,,740,1.0000000000,0.0000000000,not_significant,extended_zeta
H₀_ratio,1 × ζ(5)^3/ζ(7)^3,1.0874580000,1.0843230000,0.2891240000,,9,4,,,,0.9999916407,0.9999905958,,1480,1.0000000000,0.0000000000,not_significant,extended_zeta
m_t/m_c,100 × ζ(3)^2/ζ(5)^2,134.3856990000,135.8300000000,1.0633150000,,9,4,,,,0.9998869361,0.9998728031,,1480,1.0000000000,0.0000000000,not_significant,extended_zeta
m_μ/m_e,100 × [ζ(5)+ζ(7)],204.5277030000,206.7680000000,1.0834830000,,5,2,,,,0.9998826065,0.9998757010,,740,1.0000000000,0.0000000000,not_significant,extended_zeta
α⁻¹,100 × ζ(3)^2/ζ(5)^1,139.3482610000,137.0360000000,1.6873390000,,9,4,,,,0.9997152887,0.9996796998,,1480,1.0000000000,0.0000000000,not_significant,extended_zeta
m_b/m_d,1000 × ζ(5)/[ζ(3)×ζ(15)],862.5220010000,895.0700000000,3.6363630000,,7,3,,,,0.9986776864,0.9985574761,,1480,1.0000000000,0.0000000000,not_significant,extended_zeta
m_t/m_s,1e+04 × [ζ(3)-ζ(7)],1937.0762580000,1846.8900000000,4.8831420000,,7,3,,,,0.9976154924,0.9973987190,,740,1.0000000000,0.0000000000,not_significant,extended_zeta
g_2,ζ(5) / phi,0.6408565966,0.6530000000,1.8596329928,,3,1,,,,0.9996541765,0.9996442958,,740,1.0000000000,0.0000000000,not_significant,refined_zeta
alpha_s,ζ(9) × gamma / Weyl,0.1156749881,0.1179000000,1.8872025953,,5,2,,,,0.9996438466,0.9996228964,,1480,1.0000000000,0.0000000000,not_significant,refined_zeta
m_d,ζ(13) × δ_F,4.6697732000,4.6700000000,0.0049000000,0.4800000000,2,1,-0.1849694698,3.9808568521,2.3699389395,0.9999999976,0.9999999975,0.9996196252,740,1.0000000000,0.0000000000,not_significant,ranked_summary
m_d,ζ(13) × ζ(15) × δ_F,4.6698305000,4.6700000000,0.0036000000,0.4800000000,4,2,-0.1849694205,7.5917746662,4.3699388409,0.9999999987,0.9999999986,0.9997205409,740,1.0000000000,0.0000000000,not_significant,ranked_summary
alpha_s,√2/12,0.1178511300,0.1179000000,0.0400000000,0.0001000000,3,1,8.1719879938,-12.7330580749,-14.3439759875,0.9999998400,0.9999998354,0.6372123267,74,1.0000000000,0.0000000000,not_significant,ranked_summary
