manifold,b2,b3,H_star,source,gift_prediction,n_points,seed,lambda_0,lambda_1,lambda_1_times_H,sigma_mean,status
Joyce_3,9,45,55,Joyce,0.2545454545454545,5000,2,0.00015076801038975927,0.12571060484293878,6.914083266361633,2.2881468196421424,ok
Joyce_4,0,103,104,Joyce,0.1346153846153846,1000,0,-0.000523124996868081,0.21865411522548645,22.74002798345059,2.8131276625036064,ok
Joyce_4,0,103,104,Joyce,0.1346153846153846,1000,1,-0.0007267028324993663,0.21632256584280868,22.497546847652103,2.8288823465391277,ok
Joyce_4,0,103,104,Joyce,0.1346153846153846,1000,2,0.0018310973251761732,0.2105697930154774,21.89925847360965,2.82301327778332,ok
Joyce_4,0,103,104,Joyce,0.1346153846153846,2000,0,0.001299638646125506,0.17150049204942186,17.83605117313987,2.6438600031180903,ok
Joyce_4,0,103,104,Joyce,0.1346153846153846,2000,1,0.0005864930599303476,0.17657184242491752,18.36347161219142,2.650114611695441,ok
Joyce_4,0,103,104,Joyce,0.1346153846153846,2000,2,-0.0012400320653139921,0.17124210601759773,17.809179025830165,2.648364104441956,ok
Joyce_4,0,103,104,Joyce,0.1346153846153846,5000,0,0.00036593915080664746,0.12886529203208136,13.401990371336462,2.503977681158619,ok
Joyce_4,0,103,104,Joyce,0.1346153846153846,5000,1,3.7357679589490634e-05,0.12824961428947998,13.337959886105917,2.506899056036109,ok
Joyce_4,0,103,104,Joyce,0.1346153846153846,5000,2,-0.0002023510562102845,0.12564176893030107,13.066743968751311,2.506156953823036,ok
Joyce_5,10,41,52,Joyce,0.2692307692307692,1000,0,-0.002977841208357344,0.21816718122814102,11.344693423863333,2.5479162945249247,ok
Joyce_5,10,41,52,Joyce,0.2692307692307692,1000,1,-0.00508330953754816,0.21745489144379027,11.307654355077094,2.562185684678898,ok
Joyce_5,10,41,52,Joyce,0.2692307692307692,1000,2,-0.001978343600578608,0.2100640933337134,10.923332853353097,2.5568699302195705,ok
Joyce_5,10,41,52,Joyce,0.2692307692307692,2000,0,0.00683502405170206,0.17145351458488328,8.915582758413931,2.3946065698249006,ok
Joyce_5,10,41,52,Joyce,0.2692307692307692,2000,1,0.00022417406476573707,0.17656001377655098,9.18112071638065,2.400271516824115,ok
Joyce_5,10,41,52,Joyce,0.2692307692307692,2000,2,0.00013774137515827696,0.17116277429511914,8.900464263346196,2.3986860409801682,ok
Joyce_5,10,41,52,Joyce,0.2692307692307692,5000,0,-0.0005130570815947425,0.1292414900961025,6.72055748499733,2.2679118406140244,ok
Joyce_5,10,41,52,Joyce,0.2692307692307692,5000,1,-0.0007792609237038246,0.12909165161209965,6.7127658838291815,2.2705577989727534,ok
Joyce_5,10,41,52,Joyce,0.2692307692307692,5000,2,5.3081662588867225e-05,0.1257680227076,6.539937180795201,2.2698856594370707,ok
Joyce_6,11,44,56,Joyce,0.25,1000,0,0.0007583415481899365,0.21592955757537055,12.09205522422075,2.5750340025254714,ok
Joyce_6,11,44,56,Joyce,0.25,1000,1,0.005266114548508513,0.2159652069081899,12.094051586858635,2.589455263114267,ok
Joyce_6,11,44,56,Joyce,0.25,1000,2,0.0004740194815926562,0.20940209314993158,11.726517216396168,2.5840829325901997,ok
Joyce_6,11,44,56,Joyce,0.25,2000,0,-0.003471390573641971,0.1704075704168313,9.542823943342553,2.420092588292713,ok
Joyce_6,11,44,56,Joyce,0.25,2000,1,0.0021801586473663525,0.17664792003041063,9.892283521702996,2.425817827845059,ok
Joyce_6,11,44,56,Joyce,0.25,2000,2,-0.0024302413373556925,0.1715044495713065,9.604249175993164,2.424215477635549,ok
Joyce_6,11,44,56,Joyce,0.25,5000,0,-5.547522266255268e-05,0.12861346367678195,7.202353965899789,2.2920494353995786,ok
Joyce_6,11,44,56,Joyce,0.25,5000,1,-0.0018501228358066661,0.12864969153842257,7.204382726151664,2.2947235549370353,ok
Joyce_6,11,44,56,Joyce,0.25,5000,2,0.00112351422547989,0.12643941306425213,7.08060713159812,2.2940442617583137,ok
Kovalev_1,0,71,72,Kovalev,0.19444444444444445,1000,0,0.0003069521518369103,0.21643637155454398,15.583418751927166,2.6691626261991894,ok
Kovalev_1,0,71,72,Kovalev,0.19444444444444445,1000,1,7.345396780374887e-05,0.21680105292849075,15.609675810851334,2.684111046200068,ok
Kovalev_1,0,71,72,Kovalev,0.19444444444444445,1000,2,0.0006398766237074041,0.2088983580008148,15.040681776058666,2.678542333772828,ok
Kovalev_1,0,71,72,Kovalev,0.19444444444444445,2000,0,0.0019024370335571474,0.171717126459914,12.363633105113808,2.5085574335240945,ok
Kovalev_1,0,71,72,Kovalev,0.19444444444444445,2000,1,-0.0006066278251982595,0.17677985843183175,12.728149807091885,2.514491955330087,ok
Kovalev_1,0,71,72,Kovalev,0.19444444444444445,2000,2,0.0013140146739331823,0.17196617148566015,12.381564346967531,2.5128310322940757,ok
Kovalev_1,0,71,72,Kovalev,0.19444444444444445,5000,0,-0.0004835919321189442,0.12952836231656678,9.326042086792809,2.375833749911423,ok
Kovalev_1,0,71,72,Kovalev,0.19444444444444445,5000,1,-0.0009448251546253026,0.12870953172815977,9.267086284427503,2.378605620077163,ok
Kovalev_1,0,71,72,Kovalev,0.19444444444444445,5000,2,0.000255272193507563,0.12598713535844236,9.07107374580785,2.3779014957964364,ok
Kovalev_2,0,95,96,Kovalev,0.14583333333333334,1000,0,0.000614136211362297,0.21807528966959136,20.93522780828077,2.7811436805880723,ok
Kovalev_2,0,95,96,Kovalev,0.14583333333333334,1000,1,0.0010386794624683544,0.2165569047984136,20.789462860647706,2.7967192410324415,ok
Kovalev_2,0,95,96,Kovalev,0.14583333333333334,1000,2,-0.0035290470779655303,0.21044760114450883,20.202969709872846,2.7909169009187242,ok
Kovalev_2,0,95,96,Kovalev,0.14583333333333334,2000,0,0.003306314257067657,0.17126061519567182,16.441019058784494,2.613800517495004,ok
Kovalev_2,0,95,96,Kovalev,0.14583333333333334,2000,1,-0.002981331164601081,0.17737966506170588,17.028447845923765,2.6199840140178634,ok
Kovalev_2,0,95,96,Kovalev,0.14583333333333334,2000,2,-0.002742407318305901,0.1718416660900472,16.49679994464453,2.6182534092355976,ok
Kovalev_2,0,95,96,Kovalev,0.14583333333333334,5000,0,0.00020403101810877934,0.12888990942613404,12.373431304908868,2.4755085939079526,ok
Kovalev_2,0,95,96,Kovalev,0.14583333333333334,5000,1,-0.0006479684478213849,0.1284827328924787,12.334342357677954,2.478396754081931,ok
Kovalev_2,0,95,96,Kovalev,0.14583333333333334,5000,2,0.0009997798612476072,0.12601361603101824,12.097307138977751,2.477663089233461,ok
Kovalev_3,22,59,82,Kovalev,0.17073170731707318,1000,0,-0.006891504814426194,0.21749696842171773,17.834751410580854,2.719216584443666,ok
