observable,formula,experimental,theoretical,deviation_pct,binary_repr,category
Omega_DM,3/25,0.12,0.12,0.0,0.00011110101110000101,rational_approximation
H_0,1826/25,73.04,73.04,0.0,1001001.00001010001111010111,rational_approximation
m_chi1,181/2^1,90.5,90.5,0.0,1011010.1,dyadic_rational
m_chi1,181/2,90.5,90.5,0.0,1011010.1,binary_rational
m_chi2,3527/10,352.7,352.7,0.0,101100000.10110011001100110011,rational_approximation
m_tau_over_me,1823028019/2^19,3477.15,3477.1499996185303,1.0970761040276381e-08,110110010101.00100110011001100110,dyadic_rational
m_t_over_ms,1936604529/2^20,1846.89,1846.8900003433228,1.8589231294870446e-08,11100110110.11100011110101110000,dyadic_rational
m_b_over_mu,2029193789/2^20,1935.19,1935.1899995803833,2.1683491222486274e-08,11110001111.00110000101000111101,dyadic_rational
m_b_over_md,117318615/2^17,895.07,895.0699996948242,3.409519157967629e-08,1101111111.00010001111010111000,dyadic_rational
H_0,76587991/2^20,73.04,73.03999996185303,5.222751767391303e-08,1001001.00001010001111010111,dyadic_rational
m_chi2,369832755/2^20,352.7,352.69999980926514,5.407849501348631e-08,101100000.10110011001100110011,dyadic_rational
m_t_over_mc,71214039/2^19,135.83,135.82999992370605,5.616870928222936e-08,10000111.11010100011110101110,dyadic_rational
v_EW,258180383/2^20,246.22,246.2200002670288,1.0845130766412899e-07,11110110.00111000010100011110,dyadic_rational
m_c_over_md,285149757/2^20,271.94,271.9399995803833,1.5430488230676373e-07,100001111.11110000101000111101,dyadic_rational
m_mu_over_me,108405981/2^19,206.768,206.76799964904785,1.697323324303669e-07,11001110.11000100100110111010,dyadic_rational
alpha_inv,143692661/2^20,137.036,137.03600025177002,1.8372545766587463e-07,10001001.00001001001101110100,dyadic_rational
theta_C,13673431/2^20,13.04,13.039999961853027,2.9253812732821106e-07,1101.00001010001111010111,dyadic_rational
theta_23,51589939/2^20,49.2,49.19999980926514,3.8767249212077426e-07,110001.00110011001100110011,dyadic_rational
m_s,48968499/2^19,93.4,93.39999961853027,4.0842583752338526e-07,1011101.01100110011001100110,dyadic_rational
m_b_over_ms,23467131/2^19,44.76,44.760000228881836,5.113535253061208e-07,101100.11000010100011110101,dyadic_rational
m_b_over_mc,3449815/2^20,3.29,3.2899999618530273,1.159482452637603e-06,11.01001010001111010111,dyadic_rational
theta_12,35064381/2^20,33.44,33.4399995803833,1.2548346200508769e-06,100001.01110000101000111101,dyadic_rational
m_d,2448425/2^19,4.67,4.670000076293945,1.6337033272709695e-06,100.10101011100001010001,dyadic_rational
n_s,1011771/2^20,0.9649,0.964900016784668,1.7395240946028429e-06,0.11110111000000111010,dyadic_rational
Omega_DE,89745/2^17,0.6847,0.6847000122070312,1.782829162361817e-06,0.10101111010010000111,dyadic_rational
m_c_over_ms,7130317/2^19,13.6,13.600000381469727,2.804924462630672e-06,1101.10011001100110011001,dyadic_rational
theta_13,1123287/2^17,8.57,8.569999694824219,3.5609776141682277e-06,1000.10010001111010111000,dyadic_rational
m_u,566231/2^18,2.16,2.1599998474121094,7.064254202180951e-06,10.00101000111101011100,dyadic_rational
m_d_over_mu,2267021/2^20,2.162,2.1619997024536133,1.3762552573570318e-05,10.00101001011110001101,dyadic_rational
D_H,224453/2^18,0.85622,0.8562202453613281,2.8656341611256506e-05,0.11011011001100010011,dyadic_rational
D_H,530/619,0.85622,0.8562197092084006,3.3962252616795e-05,0.11011011001100010011,rational_approximation
Q_Koide,349543/2^19,0.6667,0.6667003631591797,5.447115340155672e-05,0.10101010101011001101,dyadic_rational
alpha_s,123627/2^20,0.1179,0.11789989471435547,8.930080113320284e-05,0.00011110001011101011,dyadic_rational
lambda_H,134847/2^20,0.1286,0.1286001205444336,9.373595147873624e-05,0.00100000111010111110,dyadic_rational
Omega_DM,125829/2^20,0.12,0.11999988555908203,9.536743163692427e-05,0.00011110101110000101,dyadic_rational
sin2_theta_W,60613/2^18,0.23122,0.23122024536132812,0.0001061159623372307,0.00111011001100010011,dyadic_rational
Omega_DE,443/647,0.6847,0.6846986089644513,0.00020315985813302805,0.10101111010010000111,rational_approximation
sin2_theta_W,197/852,0.23122,0.2312206572769953,0.0002842647674521341,0.00111011001100010011,rational_approximation
n_s,962/997,0.9649,0.9648946840521565,0.0005509325156468142,0.11110111000000111010,rational_approximation
